term_name,description,weight,parent,field_authority_link,field_unique_id
Bangladesh,,0,,http://id.worldcat.org/fast/1213724|||fast|http://viaf.org/viaf/153614928|||viaf,9fcbb19d-b2ac-476b-bb14-d0438e3f674c
California--Daly City,,0,,http://id.worldcat.org/fast/1234629|||fast|http://sws.geonames.org/5341430|||geonames|http://viaf.org/viaf/128861069|||viaf,ff40822a-bf7a-4be5-91be-72c33336acb3
California--San Francisco,,0,,http://id.worldcat.org/fast/1204481|||fast|http://viaf.org/viaf/143700861|||viaf|http://sws.geonames.org/5391959/|||geonames,d6e65894-2770-4e94-9822-fbcf7662d53d
China--Taishan Shi (Guangdong Sheng),,0,,http://id.worldcat.org/fast/1327238|||fast|http://viaf.org/viaf/125824140|||viaf|http://sws.geonames.org/1793545/|||geonames,1902830c-6ef6-49e5-a5f4-777cd60ed978
Cuba--Havana,,0,,http://sws.geonames.org/3553478/|||geonames|http://id.worldcat.org/fast/1205198|||fast|http://viaf.org/viaf/129224713|||viaf,0b924a4f-b7e3-4ccc-8e32-b7d7ad0f2df3
France--Paris,,0,,http://sws.geonames.org/2988507/|||geonames|http://viaf.org/viaf/158822968|||viaf|http://id.worldcat.org/fast/1205283|||fast,8975ddb1-5005-4e82-b987-5b87ef267f17
Laos,,0,,http://viaf.org/viaf/122772641|||viaf|http://id.worldcat.org/fast/1210322|||fast|http://sws.geonames.org/1655842/|||geonames,493bd83d-e411-49a2-ae9f-e474ffd75b5a
New York (State),,0,,http://id.worldcat.org/fast/1210280|||fast|http://viaf.org/viaf/146785329|||viaf|http://sws.geonames.org/5128638/|||geonames,2eef6d70-3b40-4bc8-be41-463776f64ccb
New York (State)--New York--Queens,,0,,http://sws.geonames.org/5133266|||geonames|http://viaf.org/viaf/135462352|||viaf|http://id.worldcat.org/fast/1313007|||fast,4d65315c-2934-442a-aa2a-a7342dfd721e
Nigeria,,0,,http://id.worldcat.org/fast/1205229|||fast|http://viaf.org/viaf/130803976|||viaf|http://sws.geonames.org/2328926/|||geonames,1d7a5f3d-8a07-4cf7-8a92-42933e2b55b0
Texas,,0,,http://id.worldcat.org/fast/1210336|||fast|http://viaf.org/viaf/152620751|||viaf|http://sws.geonames.org/4736286/|||geonames,e36ecfd7-baf5-4c3d-9707-c48fd458f15a
