term_name,description,parent,field_authority_link,field_geo_alt_name,field_unique_id
Tropics,,,http://id.worldcat.org/fast/1240674|||fast,,29f9b816-5678-4059-b774-a82c88ee7156
Uganda,,,http://id.worldcat.org/fast/1210282|||fast|http://sws.geonames.org/226074/|||geonames|http://viaf.org/viaf/157051895|||viaf,,efadfa32-21aa-45b3-a6d3-d88b03a337be
United States,,,http://id.worldcat.org/fast/1204155|||fast|http://sws.geonames.org/6252001/|||geonames|http://viaf.org/viaf/130168302|||viaf,,a0f038aa-c184-4ab4-8ccb-23ceb4d3c2e4
United States--Chesapeake Bay Region,,,http://id.worldcat.org/fast/1310475|||fast,,dbf6175a-a7af-4bfb-9168-7bebc867c1e1
United States--Hoover Dam,,,http://id.worldcat.org/fast/1310299|||fast,,f79df0ce-dbd9-4448-9762-85bb8d2d947e
United States--Lake Mead,,,http://id.worldcat.org/fast/1333517|||fast,,67a479c0-7acb-4c74-b16b-5317db48253c
United States--Yellowstone National Park,,,http://id.worldcat.org/fast/1285604|||fast|http://sws.geonames.org/5843642|||geonames,Yellowstone National Park,44baa84d-5451-4f10-99c2-3da622123d7b
Venus (Planet),,,http://id.worldcat.org/fast/1242235|||fast,,c38934c6-22f1-4a35-8491-243427be30a6
Virginia,,,http://id.worldcat.org/fast/1204597|||fast|http://sws.geonames.org/6254928/|||geonames,,3646e297-8cc2-4f25-95db-d2ea394889e0
Virginia--Richmond,,,http://id.worldcat.org/fast/1205345|||fast|http://sws.geonames.org/4781708/|||geonames|http://viaf.org/viaf/140706574|||viaf,Richmond,23593530-6736-4a5a-b64a-dca3f772cba9
Washington (D.C.),,,http://id.worldcat.org/fast/1204505|||fast|http://sws.geonames.org/4138106/|||geonames|http://viaf.org/viaf/312739635|||viaf,"Washington, D.C.",3968db35-09a8-45a9-9caf-02b5146a609b
Washington (State)--Seattle,,,http://id.worldcat.org/fast/1204940|||fast|http://sws.geonames.org/5809844/|||geonames|http://viaf.org/viaf/128747843|||viaf,Seattle,beae4be1-8d29-44fd-8337-cea283eee388
West United States,,,http://id.worldcat.org/fast/1243255|||fast,,134547e4-7a0c-44be-903b-f2eafb8e5f72
Western Hemisphere,,,http://id.worldcat.org/fast/1245897|||fast,,6b1bc4f4-0542-497c-a99b-d1ef00118e4b
