tid,uuid,revision_id,langcode,Vocabulary,revision_created,revision_user,revision_log_message,Published,Name,description,weight,parent,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_uid,content_translation_created,"Authority Sources",field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_relationships,field_unique_id
2254,ac908378-d89d-44de-937b-7302401f4cbe,2254,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Wood, Susan",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,Susan,,Wood,,7ebe8ed8-1f94-4004-8281-36f902a2ea34
2255,ed540f9b-944d-4667-a83e-e2ec2959971c,2255,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Woodburn, John H.",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,"John H.",,Woodburn,,2ae569c1-4804-49c5-8522-0244d5950ce5
2256,a796583f-228d-47f7-94c0-bd9561c760de,2256,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Woodson, J. B., Jr.","Location information: Wilmington, DE|basic_html|Location information: Wilmington, DE",0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,"J. B.",Jr.,Woodson,,7f7c480c-0bb6-4b5e-bf8c-5b9ac33543bd
2257,4c812fef-5c15-4bd1-9004-f38f594eb4a0,2257,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Woodward, C. Vann (Comer Vann), 1908-1999",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/14760083|||viaf|http://id.loc.gov/authorities/names/n81050736|||lcnaf,1908/1999,,"Comer Vann",,,"C. Vann",,Woodward,,b50de702-9f54-497b-9b30-d5115d4e2a4c
2258,21b1d539-8b6b-436e-b67f-f1247d7ea95b,2258,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Wright, Geoffrey, 1952-",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,1952/,,,,,Geoffrey,,Wright,,516b8dc3-e8ec-4f7a-918b-3946d14edfa0
2259,d6a93bcc-7fd4-41c0-9605-6e5f90cd7dd7,2259,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Wright, Willard H.",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/167154981849367742081|||viaf,,,,,,"Willard H.",,Wright,,1228ed39-1be5-46ec-832f-a32f9d7ba1ae
2260,6f8cddfa-2311-496c-ae8f-9d0d908adbc9,2260,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Wriston, Henry M. (Henry Merritt), 1889-1978",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/15151321|||viaf|http://id.loc.gov/authorities/names/n89628527|||lcnaf,1889/1978,,"Henry Merritt",,,"Henry M.",,Wriston,,8d86a68a-1944-4cf7-9723-53199f5952e4
2261,dba13b36-1531-4a99-bc95-1ae59d72e165,2261,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Wyatt, A. D.","Associated information: Brattleb[?]|basic_html|Associated information: Brattleb[?]",0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,"A. D.",,Wyatt,,0fdc7c17-779d-4790-8c26-4b4bff26b169
2262,01b8d256-f3ae-4c41-bbc8-21076ef1d86a,2262,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Wyatt, Chad Evans",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,"Chad Evans",,Wyatt,,14e0a888-f597-4e0f-ac7c-d27b5c8d1117
2263,18f5c657-3924-42b0-9dea-49f0ccd77e22,2263,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Yardley, Richard Q., 1903-1979",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/3144154329458626970006|||viaf|http://id.loc.gov/authorities/names/no2020013191|||lcnaf,1903/1979,,,,,"Richard Q.",,Yardley,,c6916939-3061-4833-95fd-c5a911c68036
