tid,uuid,revision_id,langcode,Vocabulary,revision_created,revision_user,revision_log_message,Published,Name,description,weight,parent,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_uid,content_translation_created,"Authority Sources",field_unique_id
2354,940eb9f1-c3f4-4533-9834-4de8ecdbec20,2354,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Aquatic resources--Research",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/812091|||fast,67e477a6-e078-46d7-9722-7ecef5480033
2355,2fee88d2-570f-43f5-bcfd-ced1f2d2aafd,2355,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Aquatic sports--Safety measures",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/812116|||fast,d0ff42a6-27e6-404d-bcd6-bf809e8eea63
2356,2efc29fd-0e33-4aad-a11c-76edd313f688,2356,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Archaeological dating",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/812899|||fast,0ac285ae-685a-4942-9db3-10a7ef4e39f9
2357,1d2a52fb-e2c2-4d75-bd37-12cbb5cfc921,2357,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Archaeological museums and collections",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/812910|||fast,f0683491-8937-464c-af20-ced3542df091
2358,b8206329-d1f5-4d84-a78f-647e7335f5aa,2358,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,Archaeology,,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/812938|||fast,664edf56-6e14-4fbd-9789-b57a804630c5
2359,f5758c49-d8c1-44ec-b7aa-0dcea5ca9df9,2359,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Archaeology--Vocational guidance",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/813002|||fast,57b99af5-03d6-42b2-adab-51a247168031
2360,4172a320-0d38-471c-b9b3-1bcaeb97e633,2360,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Architects--Vocational guidance",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/813155|||fast,da393009-6ad6-41c5-a631-d1b1e2fbb79f
2361,600c9d31-8c17-4896-9be1-dd78c34e1010,2361,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,Architecture,,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/813346|||fast,c1371829-4d46-4667-8a98-414cfdbb31ef
2362,a1a07831-527b-4833-a905-9bcec421d7d6,2362,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,Archives,,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/814030|||fast,f2017100-fb9c-4cb9-8fa7-8c36183770db
2363,01ccf609-a9c9-41e2-9747-7e8934c2bcf5,2363,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Art and philosophy",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/815419|||fast,47e66bad-2c87-42f5-bc05-a4be9c485ffa
2364,035b7608-ac73-45dc-94b2-0f592918829a,2364,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Art and science",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/815430|||fast,2604f99d-ca34-40da-83c4-7719c7ca3336
2365,9d338778-fe03-4c08-9911-f9c8add997f9,2365,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Art criticism",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/815492|||fast,6b1f25c8-dcb5-4cca-9505-28ce4476c3a2
2366,c5866def-4ad6-4d06-9dae-77352ad90f9d,2366,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Art objects",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/815674|||fast,96063ffc-f507-4e1f-af8d-a69ef276f816
2367,9a8baf6a-150d-472b-b31c-ba015e4b0de8,2367,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Art--Conservation and restoration",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/815208|||fast,1eaf769c-c8ea-4dd2-a0ea-8c26d55fc2c8
2368,04ca0861-0c93-4697-bedc-f6c35718019c,2368,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Artificial arms",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/817203|||fast,0b58d968-023b-47c1-84a6-e232430b4bbb
2369,27c54398-c5ee-4824-9163-1cfd39390a07,2369,en,subject|taxonomy_vocabulary|8d9cf3d5-c8f3-464f-b390-f1a6229b1a67,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",,,1,"Artificial respiration",,0,,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:37:14+00:00|Y-m-d\TH:i:sP",http://id.worldcat.org/fast/817338|||fast,569f229d-68e9-4cdd-b5c2-ac7658bab38b
